,reward,year_month,requesterId,cohort
459,0.7,2015-01,A1DEUNN0954WZK,2014-06
460,2.0,2014-06,A1DIWKR9NEY82N,2014-06
461,8.0,2014-07,A1DIWKR9NEY82N,2014-06
462,10.0,2014-09,A1DIWKR9NEY82N,2014-06
463,4.0,2014-10,A1DIWKR9NEY82N,2014-06
464,2.0,2015-03,A1DIWKR9NEY82N,2014-06
465,2.0,2015-04,A1DIWKR9NEY82N,2014-06
466,2.0,2015-06,A1DIWKR9NEY82N,2014-06
467,8.0,2015-07,A1DIWKR9NEY82N,2014-06
468,18.1,2015-09,A1DIWKR9NEY82N,2014-06
